Country,Zone name,Zone id,year,month,Carbon intensity gCO₂eq/kWh (direct)_mean,Carbon intensity gCO₂eq/kWh (direct)_sum,Carbon intensity gCO₂eq/kWh (Life cycle)_mean,Carbon intensity gCO₂eq/kWh (Life cycle)_sum,Carbon-free energy percentage (CFE%)_mean,Carbon-free energy percentage (CFE%)_sum,Renewable energy percentage (RE%)_mean,Renewable energy percentage (RE%)_sum,Data estimated_mean,Data estimated_sum,estimated_hour_flag_mean,estimated_hour_flag_sum,hourly_row_count_mean,hourly_row_count_sum,estimated_hour_share_mean,estimated_hour_share_sum,hour_mean,hour_sum,day_of_week_mean,day_of_week_sum,is_weekend_mean,is_weekend_sum,month_mean,month_sum,day_mean,day_sum,life_cycle_gap_mean,life_cycle_gap_sum,non_renewable_clean_gap_mean,non_renewable_clean_gap_sum,renewable_share_within_cfe_mean,renewable_share_within_cfe_sum,iqr_outlier_count_mean,iqr_outlier_count_sum,zscore_outlier_count_mean,zscore_outlier_count_sum,isolation_forest_flag_mean,isolation_forest_flag_sum,outlier_consensus_count_mean,outlier_consensus_count_sum,outlier_consensus_flag_mean,outlier_consensus_flag_sum,year_mean,year_sum,row_count_count
Kosovo,Kosovo,XK,2022,9,633.0680555555556,18992.041666666668,687.4549722222222,20623.649166666666,16.064819444444446,481.94458333333336,13.763625,412.90875,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.033333333333333,91,0.26666666666666666,8,9.0,270,15.5,465,54.38691666666667,1631.6075,2.301194444444445,69.03583333333334,0.8346660773922621,25.039982321767862,0.23333333333333334,7,0.0,0,0.06666666666666667,2,0.23333333333333334,7,0.06666666666666667,2,2022.0,60660,30
Kosovo,Kosovo,XK,2022,10,648.9233870967741,20116.625,704.8107795698925,21849.134166666667,13.815201612903227,428.27125,12.792002688172042,396.5520833333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.064516129032258,95,0.3225806451612903,10,10.0,310,16.0,496,55.88739247311828,1732.5091666666667,1.0231989247311826,31.71916666666666,0.9250800780894689,28.677482420773536,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022.0,62682,31
Kosovo,Kosovo,XK,2022,11,626.1482638888889,18784.447916666668,680.3542916666667,20410.62875,16.613916666666668,498.4175,15.752402777777778,472.57208333333335,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.9,87,0.26666666666666666,8,11.0,330,15.5,465,54.20602777777778,1626.1808333333333,0.8615138888888885,25.845416666666654,0.935149774408727,28.054493232261812,0.0,0,0.0,0,0.03333333333333333,1,0.03333333333333333,1,0.0,0,2022.0,60660,30
Kosovo,Kosovo,XK,2022,12,529.3913440860216,16411.131666666668,577.2865322580645,17895.8825,29.520188172043014,915.1258333333334,28.851975806451613,894.41125,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.096774193548387,96,0.2903225806451613,9,12.0,372,16.0,496,47.895188172043014,1484.7508333333335,0.6682123655913975,20.714583333333323,0.9714306573251913,30.11435037708093,0.3548387096774194,11,0.0,0,0.22580645161290322,7,0.41935483870967744,13,0.12903225806451613,4,2022.0,62682,31
Kosovo,Kosovo,XK,2023,1,539.4821370967742,16723.94625,586.7601747311828,18189.565416666668,28.60319892473118,886.6991666666667,27.743373655913977,860.0445833333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.935483870967742,91,0.2903225806451613,9,1.0,31,16.0,496,47.278037634408605,1465.6191666666668,0.8598252688172034,26.654583333333306,0.9647829657787138,29.90827193914013,0.1935483870967742,6,0.0967741935483871,3,0.16129032258064516,5,0.25806451612903225,8,0.06451612903225806,2,2023.0,62713,31
Kosovo,Kosovo,XK,2023,2,550.4362946428571,15412.21625,599.1533184523809,16776.292916666665,26.962678571428572,754.955,26.209017857142857,733.8525,0.0,0.0,0.0,0,24.0,672,0.0,0.0,0.0,0,3.0,84,0.2857142857142857,8,2.0,56,14.5,406,48.717023809523816,1364.0766666666668,0.7536607142857149,21.102500000000017,0.9684240077888763,27.115872218088537,0.0,0,0.0,0,0.07142857142857142,2,0.07142857142857142,2,0.0,0,2023.0,56644,28
Kosovo,Kosovo,XK,2023,3,580.5525806451614,17997.13,630.9205241935484,19558.53625,23.04447580645161,714.37875,22.59119623655914,700.3270833333333,0.0026881720430107525,0.08333333333333333,0.06451612903225806,2,24.0,744,0.0026881720430107525,0.08333333333333333,0.0,0,3.0,93,0.25806451612903225,8,3.0,93,16.0,496,50.36794354838711,1561.4062500000005,0.4532795698924731,14.051666666666666,0.9795277722468586,30.365360939652618,0.2903225806451613,9,0.16129032258064516,5,0.03225806451612903,1,0.12903225806451613,4,0.03225806451612903,1,2023.0,62713,31
Kosovo,Kosovo,XK,2023,4,604.8177083333334,18144.53125,656.6562916666667,19699.68875,19.958916666666667,598.7675,18.646708333333333,559.40125,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.1666666666666665,95,0.3333333333333333,10,4.0,120,15.5,465,51.83858333333334,1555.1575000000003,1.3122083333333336,39.36625000000001,0.9312345130438966,27.937035391316897,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2023.0,60690,30
Kosovo,Kosovo,XK,2023,5,518.3560215053764,16069.036666666667,563.2857930107527,17461.859583333335,31.743830645161292,984.05875,31.336048387096774,971.4175,0.016129032258064516,0.5,0.3870967741935484,12,24.0,744,0.016129032258064516,0.5,0.0,0,2.806451612903226,87,0.25806451612903225,8,5.0,155,16.0,496,44.92977150537635,1392.822916666667,0.4077822580645158,12.641249999999989,0.982531552376677,30.458478123676986,1.4516129032258065,45,0.8387096774193549,26,0.22580645161290322,7,0.7096774193548387,22,0.22580645161290322,7,2023.0,62713,31
Kosovo,Kosovo,XK,2023,6,606.2113333333333,18186.34,658.4228333333334,19752.685,19.361916666666666,580.8575,18.277791666666666,548.33375,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.033333333333333,91,0.26666666666666666,8,6.0,180,15.5,465,52.21150000000001,1566.3450000000003,1.0841250000000002,32.52375000000001,0.9397716894982039,28.193150684946115,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2023.0,60690,30
